id_emp,Name,Apellido,birth_date,Gender,area,salary,star_date,finish_date,promotion_date,type
00-0037846,Kimmy,Walczynski,06/04/1991,hombre,Engineering," $77,719 ",1/20/2002,,,0
00-0041533,Ignatius,Springett,6/29/1984,hombre,"Business Development"," $135,189 ",04/08/2019,,,0
00-0045747,Corbie,Bittlestone,7/29/1989,hombre,Sales," $122,484 ",10/12/2010,,,1
00-0055274,Baxy,Matton,9/14/1982,mujer,Services," $82,100 ",04/10/2005,,,0
00-0076100,Terrell,Suff,04/11/1994,mujer,"Product Management"," $114,648 ",9/29/2010,"2029-10-29 06:09:38 UTC",,1
00-0116166,Kacie,Offiler,1/18/1971,hombre,Engineering," $121,044 ",09/01/2018,,,0
00-0363185,Sandro,Admans,11/19/1979,hombre,"Product Management"," $174,195 ",11/08/2012,,,1
00-0380704,Eugene,Lehrahan,10/14/1988,mujer,Engineering," $66,031 ",6/27/2007,,,1
00-0381660,Wainwright,Corfield,12/13/1996,hombre,Engineering," $164,055 ",2/20/2001,"2008-12-05 01:21:48 UTC",,0
00-0419202,Dyann,Isoldi,3/27/1980,hombre,Engineering," $135,543 ",1/27/2005,,,1
00-0472287,Grantley,Oret,09/06/1975,hombre,Services," $166,001 ",11/01/2004,,,1
00-0472832,Elmore,Worner,01/07/1966,mujer,Engineering," $117,567 ",12/05/2000,,,1
00-0566380,Dud,Brain,3/17/1984,hombre,"Business Development"," $150,237 ",9/17/2008,,,0
00-0571075,Aguie,Conford,11/02/1971,hombre,"Business Development"," $174,698 ",11/25/2015,,,1
00-0624189,Katerina,Rosborough,8/20/1967,hombre,Engineering," $124,803 ",5/17/2019,,,1
00-0715212,Alida,Longley,1/28/1973,mujer,Accounting," $156,904 ",02/04/2002,,,0
00-0755645,Laraine,Petre,05/11/1967,hombre,Engineering," $140,626 ",9/30/2010,,,1
00-0778934,Gareth,MacCook,2/21/1987,mujer,Legal," $107,742 ",2/18/2010,,,1
00-0794247,Scottie,Chestney,2/23/1972,mujer,Engineering," $90,315 ",07/03/2002,,,1
00-0948136,Christophorus,Boseley,5/23/1983,mujer,Marketing," $124,809 ",09/06/2007,,,1
00-0971612,Arleyne,Froome,08/01/1999,hombre,Engineering," $137,597 ",04/09/2015,,,1
00-1051096,Todd,Cashen,6/19/1999,mujer,Accounting," $115,695 ",6/20/2014,,,1
00-1052230,Elmo,McNee,12/16/1988,mujer,Services," $78,418 ",7/18/2002,"2006-05-22 20:14:26 UTC",,1
00-1100714,Regen,Nafzger,04/06/1990,hombre,"Human Resources"," $164,369 ",7/23/2016,"2022-07-12 02:26:01 UTC",,0
00-1147503,Penelope,Wenman,12/19/1994,hombre,"Business Development"," $154,937 ",09/10/2019,,,1
00-1189819,Rudolf,Reichardt,06/05/1979,hombre,"Business Development"," $97,134 ",05/07/2007,"2022-02-25 03:21:03 UTC",,0
00-1222963,Tobiah,Fruchon,10/17/1991,mujer,Services," $138,757 ",2/13/2011,,,0
00-1268049,Fay,Monnelly,07/09/1966,hombre,Engineering," $111,994 ",2/24/2010,"2030-03-21 03:56:25 UTC",,0
00-1277358,Lola,Burrells,10/02/1973,hombre,"Human Resources"," $132,408 ",03/08/2008,"2024-10-09 10:07:08 UTC",,1
00-1284831,Hamel,Edgeler,12/22/1973,hombre,"Human Resources"," $152,256 ",08/08/2001,"2007-10-31 20:13:44 UTC",,0
00-1331085,Shalne,Berntssen,5/20/1979,mujer,"Business Development"," $132,654 ",12/19/2008,,,1
00-1418617,Nefen,Russan,2/18/1997,mujer,Training," $120,834 ",1/21/2007,,,1
